2019.06.16 12:52:24.575 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5400]!
2019.06.16 12:52:24.575 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5401]!
2019.06.16 12:52:24.580 INFO  Server.Server - Server's Strategy: ServerStrategyGenerateMaze
2019.06.16 12:52:24.580 INFO  Server.Server - Server's Strategy: ServerStrategySolveSearchProblem
2019.06.16 12:52:24.580 INFO  Server.Server - Server is waiting for clients...
2019.06.16 12:52:24.580 INFO  Server.Server - Server is waiting for clients...
2019.06.16 12:52:25.580 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:25.580 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:26.581 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:26.582 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:27.582 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:27.582 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:28.582 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:28.582 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:29.583 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:29.583 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:30.584 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:30.584 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:31.091 INFO  Server.Server - Client excepted: Socket[addr=/192.168.3.1,port=61719,localport=5400]
2019.06.16 12:52:31.091 INFO  Server.Server - Client is connected to server (IP: ziv-PC/192.168.3.1, port: 5400)
2019.06.16 12:52:31.093 INFO  Server.Server - Handling client with socket: Socket[addr=/192.168.3.1,port=61719,localport=5400]
2019.06.16 12:52:31.101 INFO  Server.Server - Server generating 10 by 10 maze
2019.06.16 12:52:31.105 INFO  Server.Server - Finished handle client: Socket[addr=/192.168.3.1,port=61719,localport=5400]
2019.06.16 12:52:31.585 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:32.093 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:32.585 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:33.093 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:33.586 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:34.094 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:34.586 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:35.095 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:35.587 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:36.095 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:36.589 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:37.096 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:37.589 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:38.097 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:38.590 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:39.097 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:39.591 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:40.098 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:40.592 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:41.099 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:41.279 INFO  Server.Server - Client is connected to server (IP: ziv-PC/192.168.3.1, port: 5400)
2019.06.16 12:52:41.279 INFO  Server.Server - Client excepted: Socket[addr=/192.168.3.1,port=61720,localport=5400]
2019.06.16 12:52:41.282 INFO  Server.Server - Handling client with socket: Socket[addr=/192.168.3.1,port=61720,localport=5400]
2019.06.16 12:52:41.283 INFO  Server.Server - Server generating 20 by 30 maze
2019.06.16 12:52:41.287 INFO  Server.Server - Finished handle client: Socket[addr=/192.168.3.1,port=61720,localport=5400]
2019.06.16 12:52:41.593 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:42.280 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:42.594 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:43.281 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:43.595 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:44.282 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:44.595 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:45.282 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:52:45.596 DEBUG Server.Server - Socket Timeout - No clients pending!
